1 2 6 7 26 27 31 32
2 3 7 8 27 28 32 33
3 4 8 9 28 29 33 34
4 5 9 10 29 30 34 35
6 7 11 12 31 32 36 37
7 8 12 13 32 33 37 38
8 9 13 14 33 34 38 39
9 10 14 15 34 35 39 40
11 12 16 17 36 37 41 42
12 13 17 18 37 38 42 43
13 14 18 19 38 39 43 44
14 15 19 20 39 40 44 45
16 17 21 22 41 42 46 47
17 18 22 23 42 43 47 48
18 19 23 24 43 44 48 49
19 20 24 25 44 45 49 50
26 27 31 32 51 52 56 57
27 28 32 33 52 53 57 58
28 29 33 34 53 54 58 59
29 30 34 35 54 55 59 60
31 32 36 37 56 57 61 62
32 33 37 38 57 58 62 63
33 34 38 39 58 59 63 64
34 35 39 40 59 60 64 65
36 37 41 42 61 62 66 67
37 38 42 43 62 63 67 68
38 39 43 44 63 64 68 69
39 40 44 45 64 65 69 70
41 42 46 47 66 67 71 72
42 43 47 48 67 68 72 73
43 44 48 49 68 69 73 74
44 45 49 50 69 70 74 75
51 52 56 57 76 77 81 82
52 53 57 58 77 78 82 83
53 54 58 59 78 79 83 84
54 55 59 60 79 80 84 85
56 57 61 62 81 82 86 87
57 58 62 63 82 83 87 88
58 59 63 64 83 84 88 89
59 60 64 65 84 85 89 90
61 62 66 67 86 87 91 92
62 63 67 68 87 88 92 93
63 64 68 69 88 89 93 94
64 65 69 70 89 90 94 95
66 67 71 72 91 92 96 97
67 68 72 73 92 93 97 98
68 69 73 74 93 94 98 99
69 70 74 75 94 95 99 100
76 77 81 82 101 102 106 107
77 78 82 83 102 103 107 108
78 79 83 84 103 104 108 109
79 80 84 85 104 105 109 110
81 82 86 87 106 107 111 112
82 83 87 88 107 108 112 113
83 84 88 89 108 109 113 114
84 85 89 90 109 110 114 115
86 87 91 92 111 112 116 117
87 88 92 93 112 113 117 118
88 89 93 94 113 114 118 119
89 90 94 95 114 115 119 120
91 92 96 97 116 117 121 122
92 93 97 98 117 118 122 123
93 94 98 99 118 119 123 124
94 95 99 100 119 120 124 125
